,Ids,Surface_dice_1,Surface_dice_2,Surface_dice_3
0,Patient_98613,0.3840858329416464,0.5395781381341292,0.6655892006212848
0,832_19_4,0.47631174030094386,0.6726012988292116,0.864687716176253
0,1733_18,0.4698418845894068,0.6215150451070868,0.7230875816259208
0,826_18_4,0.35705866709104295,0.5639595608109745,0.7428078474103642
0,778_19,0.39880125790135246,0.5134285411185611,0.6021605443522561
0,Patient_10014,0.5822220224427089,0.7786062636521461,0.9026739239173917
0,Patient_33517,0.633749375542061,0.8272696199229043,0.9364444912462787
0,Patient_102016,0.4707285607137218,0.6510299367060226,0.7948576459579371
0,7_19_4,0.5118670463013091,0.6442810413976681,0.7387103808385772
0,Patient_98817,0.2646861888059806,0.38697856791963847,0.5175101852652708
0,Patient_43414,0.2934226118392805,0.4414329756727143,0.5653262112080636
0,664_18_4,0.8113019617542692,0.9191386496277694,0.9604971414072515
0,Patient_103614,0.22705876869115055,0.3444397659456634,0.47388763652064564
0,Patient_55317,0.23798639678171438,0.3411079242870714,0.4548512842252468
0,Patient_62817,0.3295848569096822,0.40725526488833236,0.4839555628945943
0,Patient_73415,0.2397165075641998,0.36167608209061447,0.5056649708336249
0,1360_18,0.43804308675483145,0.5713817141529292,0.6595537336175662
0,Patient_63916,0.3268188268536902,0.4739986849687516,0.6185501945991687
0,244_19_4,0.7388546126570746,0.8968470096484872,0.9770203641705629
0,1036_18,0.5983432321830233,0.7577710990575772,0.8869914895071533
0,1366_19_4,0.23594270122177788,0.347518062081149,0.4603587518625397
0,1769_18,0.7295138713048701,0.8796116771525867,0.9387624650509773
0,Patient_30515,0.5006128757154462,0.722771874919285,0.8866611063109338
0,Patient_4314,0.021026156898515586,0.03376064636958518,0.05092007311335156
0,Patient_20717,0.48836617315473646,0.6943229559731661,0.8511452994477933
0,Patient_56716,0.053406001117720606,0.08428054533831096,0.12334647281314648
0,983_19_4,0.7095640344777123,0.8449976172566344,0.9191199710310515
0,725_19_4,0.4674202588978011,0.6285668454629206,0.7397772120791514
0,1295_18_4,0.15607862828275193,0.23578410643829437,0.3053534002932605
