,Ids,Dice_1,Dice_2,Hausdorff95_1,Hausdorff95_2,Sensitivity_1,Sensitivity_2,Specificity_1,Specificity_2,Surface_dice_1,Surface_dice_2,Precision_1,Precision_2
0,1019_18,0.7016064112268561,0.9986026377091113,13.490737563232042,0.0,0.5606613411168293,0.9997796285772613,0.9997796285772613,0.5606613411168293,0.3549927214373059,0.9801540739698366,0.9372131094918628,0.9974284148080775
0,Patient_33217,0.8055260112904545,0.9990636698323919,4.69041575982343,0.0,0.8776263848210875,0.9986686519510369,0.9986686519510369,0.8776263848210875,0.4067244076060716,0.9816820272115917,0.7443729208968765,0.999459000331693
0,Patient_112916,0.8319316788871777,0.9978772534014787,7.14142842854285,1.0,0.9170741847987487,0.9967085012748411,0.9967085012748411,0.9170741847987487,0.42535519880246436,0.9620500739676536,0.761255598011422,0.9990487497310165
0,Patient_84917,0.6715797612719278,0.9977004081132688,9.0,0.0,0.8853472074750478,0.9960165118214237,0.9960165118214237,0.8853472074750478,0.458260346614233,0.9697580350329508,0.5409638241552914,0.9993900077415576
0,1072_19,0.8761747285610019,0.998916964674157,9.16515138991168,0.0,0.8896029799456999,0.9987850999524727,0.9987850999524727,0.8896029799456999,0.7381744232619064,0.9846429149240886,0.8631458386357852,0.99904886421935
0,105_19,0.7595546333002974,0.9982481939259591,10.0,0.0,0.6411801615728516,0.9995927244890189,0.9995927244890189,0.6411801615728516,0.32105050022759174,0.9720626069450222,0.9315341664450943,0.9969072755022734
0,Patient_82916,0.8073645449763283,0.9982408573552728,6.4031242374328485,0.0,0.8612680891517904,0.9976706523890385,0.9976706523890385,0.8612680891517904,0.43408961397681584,0.9701075899381948,0.7598108306445037,0.9988117144798816
0,1345_19_4,0.48804535370963764,0.9969577225858987,73.68853370776216,1.7320508075688772,0.9102804399335148,0.9942172357499216,0.9942172357499216,0.9102804399335148,0.13286741081005105,0.9647055488698264,0.3333980959782398,0.9997133590824328
0,1220_19_4,0.8908196676765893,0.9990924283155589,4.0,0.0,0.9298041606988385,0.9987443385440311,0.9987443385440311,0.9298041606988385,0.6265450395552707,0.984141865634486,0.8549726818709332,0.999440760809331
0,285_18_4,0.8372066924163214,0.998026657301215,8.306623862918075,0.0,0.9892259240842035,0.9961709781210873,0.9961709781210873,0.9892259240842035,0.520437493364607,0.9734885104479752,0.7256868165273713,0.9998892629466665
0,1776_18_4,0.9053557006917378,0.99752154211275,4.898979485566356,1.0,0.9806875829050401,0.995518985637101,0.995518985637101,0.9806875829050401,0.5758144576940569,0.9603640626296485,0.8407715227873951,0.9995321713938816
0,Patient_43515,0.837158506670251,0.9994553979825901,4.47213595499958,0.0,0.956977682172627,0.9990370667516516,0.9990370667516516,0.956977682172627,0.565433753941135,0.9897648110796767,0.7440047782589219,0.9998740796996801
0,1112_19_4,0.5062382877995858,0.9977468212457935,15.033296378372908,0.0,0.46268084914589624,0.9981756323375163,0.9981756323375163,0.46268084914589624,0.2648325300203308,0.9742051551991646,0.5588491480211225,0.9973183784259197
0,75_19,0.7697056131462994,0.9993924988914326,8.0,0.0,0.7710021321961621,0.9993880656518297,0.9993880656518297,0.7710021321961621,0.5196591444532306,0.9891821129825449,0.7684134472353266,0.999396932170367
0,745_18_4,0.6913547632301466,0.9981570152266385,10.0,0.0,0.896167111024142,0.9967967114644716,0.9967967114644716,0.896167111024142,0.32517096269973883,0.973098203225885,0.5627438331336589,0.9995210368080675
0,1781_18,0.8734144335252608,0.9996716414927016,3.605551275463989,0.0,0.9529545132492561,0.9994552494496077,0.9994552494496077,0.9529545132492561,0.696399703887971,0.9943184452564142,0.8061293802693091,0.9998881272581642
0,22_19_4,0.7700532753057703,0.9993114524477534,5.0,0.0,0.9968915440283647,0.9986310275791698,0.9986310275791698,0.9968915440283647,0.31532005639854105,0.9863708561257062,0.627311348146337,0.9999928051738894
0,Patient_90517,0.8173785971223022,0.999085610208566,10.295630140987,0.0,0.732708585247884,0.9996640152820673,0.9996640152820673,0.732708585247884,0.5412298182103046,0.9852671795783378,0.9241738688357906,0.9985078740777575
0,Patient_109414,0.8918358979965562,0.9988803866222412,4.898979485566356,0.0,0.896456987120313,0.9988270911725287,0.9988270911725287,0.896456987120313,0.5948405566917998,0.9803437162332669,0.8872622064629809,0.9989336877597382
0,Patient_713,0.806457137963518,0.9984691696871213,7.280109889280518,0.0,0.7726029645025434,0.9988153408949744,0.9988153408949744,0.7726029645025434,0.49538850820180635,0.974347163633274,0.8434141390016718,0.9981232383494067
0,1032_19,0.6663400293973543,0.9985444168842241,20.591260281974,0.0,0.5122918318794607,0.9998560415249235,0.9998560415249235,0.5122918318794607,0.38277289092356725,0.9801466453029201,0.9528726307249797,0.9972362289489963
0,Patient_5117,0.7119570644033949,0.9973916915690538,15.0,1.0,0.8318191760845789,0.9960919585639023,0.9960919585639023,0.8318191760845789,0.33182738273910606,0.9616888586496489,0.6222876779577811,0.9986948208731334
0,Patient_105914,0.9021056963544704,0.9987041733833717,5.0,0.0,0.8934724828681334,0.9988319269958345,0.9988319269958345,0.8934724828681334,0.6012869070191581,0.9768843866389453,0.9109073751828862,0.9985764524468734
0,582_19_4,0.9307094321872835,0.9987571084877485,4.123105625617661,0.0,0.9136927233811536,0.9990908724898198,0.9990908724898198,0.9136927233811536,0.7587606318564858,0.9826404206161944,0.9483720116844676,0.9984235674107582
0,1029_18_4,0.7912977740445191,0.999301940412357,5.385164807134504,0.0,0.8799835593916975,0.9989652000053476,0.9989652000053476,0.8799835593916975,0.38384162458321686,0.9869434791631755,0.7188511079909652,0.9996389079190461
0,454_19,0.7893593189964158,0.9989415041155599,11.40175425099138,0.0,0.7178332790091264,0.9994419361291114,0.9994419361291114,0.7178332790091264,0.40768603119764596,0.9820521587405319,0.8767167595541401,0.9984415729952762
0,Patient_24117,0.9080275024555764,0.999536203378871,3.3166247903554,0.0,0.9124885030396841,0.9995115621534627,0.9995115621534627,0.9124885030396841,0.7162105405205177,0.9920409936375975,0.9036099078085083,0.9995608458192826
0,Patient_15215,0.6088904662614791,0.9990100454114718,6.48074069840786,0.0,0.9991264468224503,0.9980233923993492,0.9980233923993492,0.9991264468224503,0.040273679286648115,0.9832057821256288,0.43786887860902857,0.9999986511784485
