,Ids,Surface_dice_1,Surface_dice_2,Surface_dice_3
0,Patient_98613,0.42494332051054606,0.5878550483037127,0.718682634266782
0,832_19_4,0.6548071447322129,0.8560308077349216,0.9596407316907378
0,1733_18,0.5403470953729277,0.7340002800613645,0.8579008818071557
0,826_18_4,0.2541729129097313,0.38805998210822973,0.5559654699176952
0,778_19,0.5649047258041506,0.7439380577141372,0.8401147444628503
0,Patient_10014,0.5769402285074822,0.7819191586163023,0.9109570921969556
0,Patient_33517,0.7156756353285338,0.8768854078325171,0.9634354485489005
0,Patient_102016,0.5739984727972756,0.7714614443144826,0.8956323764315013
0,7_19_4,0.4961343398942928,0.6248801986249974,0.7144579201482226
0,Patient_98817,0.3594515569590248,0.5341070319746818,0.7061303589848414
0,Patient_43414,0.1988903546671638,0.327900990840652,0.4720583758701928
0,664_18_4,0.7294414576340176,0.872077574748117,0.9300919705542448
0,Patient_103614,0.37061950085453366,0.5778815699898282,0.7857099116206392
0,Patient_55317,0.4352406338434333,0.6228430620780074,0.7968686449174609
0,Patient_62817,0.34231884540426377,0.43486462583114455,0.5181668425831865
0,Patient_73415,0.2599964880140103,0.380655051193894,0.5194204083471193
0,1360_18,0.5770707042923605,0.7312447756519476,0.8275843895779668
0,Patient_63916,0.32396614884620456,0.4831577398856821,0.6424683466071874
0,244_19_4,0.8045390103086569,0.9497415272710744,0.994388286221054
0,1036_18,0.6601534845437069,0.81192732907453,0.9031012710830544
0,1366_19_4,0.5197368628803729,0.7091079577856668,0.8499791549368935
0,1769_18,0.7821147981455908,0.9290806507401375,0.9775944244421756
0,Patient_30515,0.5832852936546749,0.8030541302252234,0.9459422916758542
0,Patient_4314,0.4487894060566986,0.6453210280994522,0.8058742193876531
0,Patient_20717,0.47720883259407965,0.671575378253727,0.8364199670645008
0,Patient_56716,0.019239058128484077,0.033753696689667434,0.05571682929882748
0,983_19_4,0.6506254912017656,0.8074144356971225,0.9069344065337756
0,725_19_4,0.5293355439790766,0.6940342644970932,0.8181231043860357
0,1295_18_4,0.17448786311140888,0.2538706399499924,0.3286583105589398
0,Patient_135915,0.6134144799292534,0.8177629168857254,0.928132141141651
0,1185_18_4,0.5490449448340797,0.6880995443744836,0.7844327053495427
0,Patient_107017,0.5015092922922871,0.6849906853148643,0.8113767046326438
0,Patient_61715,0.5183322370887805,0.6801150486043195,0.7986050720862617
0,Patient_73717,0.4183160384463154,0.5915344261042894,0.7368096318762347
0,351_18,0.6232989651337908,0.8345233251385369,0.9351079259911776
0,1501_18_4,0.6401799411128333,0.7755435085679389,0.851784819426059
0,Patient_46311,0.5602333212005797,0.7887182203107943,0.927864831371972
0,1255_18,0.3131180285322343,0.46212291381154924,0.5679755824669256
0,668_18_4,0.7361138614968009,0.8808280916917893,0.9540303412543004
0,Patient_99715,0.4746696579004836,0.6650289225276309,0.8086333135143813
0,990_18_4,0.5641726587421753,0.7628003869801329,0.8934350176696619
0,Patient_96316,0.6688896589458558,0.824827368777992,0.8949687217110254
0,Patient_2317,0.345224689833605,0.4967815660719916,0.6507412460508347
0,1546_18,0.7747800021591887,0.9482833033536696,0.9903744366159709
0,Patient_24616,0.605508854708017,0.782684477358478,0.873118378535036
0,Patient_70716,0.5242630758601197,0.7632439910575536,0.9164444577342922
0,662_17,0.478908904998807,0.694311882091581,0.8647084449571317
0,322_18_4,0.734870193404912,0.8598657332107447,0.921940246579437
0,1764_18_4,0.7022014873000697,0.8665855121723263,0.944587571975936
0,Patient_35416,0.39547762180900153,0.5660919590507394,0.7264176193986874
0,1331_19_4,0.5194360604204488,0.7152273676425661,0.8442708453891747
0,Patient_71815,0.5863423742199559,0.7973607781662616,0.9224629377128172
0,Patient_90616,0.6103248210097003,0.7886744448901435,0.9118678023961354
0,788_18,0.8055603862249667,0.958630139954588,0.9948445908427284
0,64_19,0.6584182994591594,0.8387604505505057,0.9359828491201406
0,661_19,0.31013016037783664,0.44457311878983846,0.5864347230083224
0,Patient_17516,0.5211489488982292,0.7290503992970978,0.8730116885051653
0,1357_19_4,0.7066328052630447,0.8687704061594718,0.9410152799050739
0,349_18_4,0.5445287249440279,0.7627719645984941,0.9100740741740186
0,Patient_51815,0.5890281818824241,0.7556125965975886,0.8592126631058822
0,Patient_83314,0.15661315193475295,0.23720810124782182,0.3536630636097791
0,979_18_4,0.4995422261138203,0.6377277340063192,0.7535048132115403
0,Patient_123816,0.6863322480659733,0.8782594502325338,0.9628371990131274
0,856_19_4,0.648530427437767,0.7952227369731958,0.8839354309691686
0,Patient_61017,0.29118547432377057,0.46055034474112344,0.5897904170528995
0,Patient_41117,0.20386534857449332,0.33115525729417167,0.48045076520715974
