,Ids,Dice_1,Dice_2,Hausdorff95_1,Hausdorff95_2,Sensitivity_1,Sensitivity_2,Specificity_1,Specificity_2,Surface_dice_1,Surface_dice_2,Precision_1,Precision_2
0,Patient_98613,0.8307456187314844,0.9967520169755402,10.677078252031311,1.4142135623730951,0.7275711159737418,0.9994718442867837,0.9994718442867837,0.7275711159737418,0.3768392864249929,0.956252238210381,0.9680169688903677,0.9940469522308047
0,832_19_4,0.8542490491223912,0.999238481419245,4.123105625617661,0.0,0.9439681859313235,0.9987425171668801,0.9987425171668801,0.9439681859313235,0.5985161912390509,0.9862625237198734,0.7801042999114435,0.999734938496832
0,1733_18,0.8003688902551491,0.9981648472448689,7.681145747868608,0.0,0.7965684774760442,0.9982086269640584,0.9982086269640584,0.7965684774760442,0.40085600323581855,0.9706033682890095,0.8042057402671213,0.9981210713657176
0,826_18_4,0.8566481897767415,0.9970662185365725,8.774964387392123,1.4142135623730951,0.7741048222261475,0.9992468374331532,0.9992468374331532,0.7741048222261475,0.33833263094949856,0.9552414182177092,0.9588959739934984,0.9948950962814951
0,778_19,0.8350591608857478,0.9993596991412412,11.575836902790225,0.0,0.8564044676806084,0.9992630141249442,0.9992630141249442,0.8564044676806084,0.6246490391439492,0.9881975393619742,0.81475201356507,0.9994564028691223
0,Patient_10014,0.8937362965356744,0.9972803038827193,5.0,1.4142135623730951,0.8851529160739687,0.9975278753171306,0.9975278753171306,0.8851529160739687,0.5445528585411658,0.9545934065585664,0.9024877741469096,0.9970328553048392
0,Patient_33517,0.8708941114235054,0.9992576851051663,4.0,0.0,0.926196032672112,0.998914753229952,0.998914753229952,0.926196032672112,0.5788469130286481,0.9861828740704848,0.8218240982121398,0.9996008525213173
0,Patient_102016,0.7894710058268237,0.9990691551148262,6.4031242374328485,0.0,0.8138656454109068,0.9989367681915059,0.9989367681915059,0.8138656454109068,0.48185665882710227,0.9831805648401056,0.7664962079102745,0.999201577132701
0,7_19_4,0.7935013590313813,0.9990596937506822,9.899494936611665,0.0,0.7305050045495906,0.999452163655274,0.999452163655274,0.7305050045495906,0.5362535167015483,0.9874843974200397,0.868388318009735,0.9986675319592128
0,Patient_98817,0.8558215429438741,0.9959190297352679,7.0,2.23606797749979,0.7982321305900615,0.9979569552562583,0.9979569552562583,0.7982321305900615,0.3495819416226356,0.9399364982149325,0.9223667995491643,0.9938894105376577
0,Patient_43414,0.6438752481170297,0.992510848725114,61.66846844214635,3.4641016151377544,0.8130850106786982,0.9881861221493073,0.9881861221493073,0.8130850106786982,0.33955229985970725,0.9466604350823468,0.5329615175127053,0.9968735954123705
0,664_18_4,0.8813455835320114,0.999078699098746,3.605551275463989,0.0,0.9484965111549173,0.9985297969942065,0.9985297969942065,0.9484965111549173,0.6489745411770409,0.984048732388909,0.823074207825355,0.9996282050094745
0,Patient_103614,0.6427768490228858,0.9972019318602057,39.87480407475377,1.0,0.9261966566296335,0.994817477106864,0.994817477106864,0.9261966566296335,0.26674882244915954,0.9675172753178218,0.49217068891316584,0.9995978445645479
0,Patient_55317,0.6831801974766868,0.9989615491111643,7.211102550927978,0.0,0.6106395366653388,0.9993506732212398,0.9993506732212398,0.6106395366653388,0.33113681284806906,0.9815207568608749,0.7752791502937401,0.9985727279150538
0,Patient_62817,0.7036366298559682,0.9978305040150371,18.35755975068582,0.0,0.5589798217259281,0.9997244054256184,0.9997244054256184,0.5589798217259281,0.33493034043213327,0.9728881401149115,0.9493044436588967,0.9959437647390306
0,Patient_73415,0.6516268980477223,0.9985549627043612,10.63014581273465,0.0,0.50035394545076,0.9998087831377809,0.9998087831377809,0.50035394545076,0.23852931868098406,0.9804201202358782,0.9340069957248348,0.9973042830648812
0,1360_18,0.7750973775459928,0.9986368934399772,15.556349186104045,0.0,0.745644786263638,0.9988760258293142,0.9988760258293142,0.745644786263638,0.49543432249445596,0.9780998769102002,0.8069723776156095,0.9983978755205271
